Ligne : Marrakech
Arret 1: Macdo, Heure: 09:00
Arret 2: Train Station, Heure: 09:30
Arret 3: Menara Mall, Heure: 09:45
Ligne : Marrakechhh
Arret 1: daoudiat, Heure: 12h
Arret 2: Sidi Youssef, Heure: 14h
Arret 3: Aeroport, Heure: 16h

Ligne : 
Arret 1: Ag, Heure: 12
Arret 2: Ri, Heure: 13h
Ligne : Rabatt
Arret 1: Aggdal, Heure: 00h
Arret 2: Rabat Mall, Heure: 01H:30
Ligne : Casa2
Arret 1: A, Heure: 08H
Arret 2: B, Heure: 09H
Arret 3: C, Heure: 10H
Arret 4: D, Heure: 12H
Ligne : Fes
Arret 1: F, Heure: 12:00
Arret 2: E, Heure: 13:00
Arret 3: S, Heure: 14:00
Ligne : A
Arret 1: ab, Heure: 12
Arret 2: bc, Heure: 11
Arret 3: de, Heure: 13
Ligne : khribga
Arret 1: a, Heure: 8
Arret 2: b, Heure: 7
Ligne : fes
Arret 1: b, Heure: 8
Arret 2: h, Heure: 9
